metric,mean,std
abalone_performance,2.23794,0.0
abalone_time_used,19.0,0.0
airbnb_melbourne_performance,-9999.0,-9999.0
airbnb_melbourne_time_used,-9999.0,-9999.0
airlines_performance,-9999.0,-9999.0
airlines_time_used,-9999.0,-9999.0
bioresponse_performance,0.7918103260373917,0.0016803260373917106
bioresponse_time_used,4.0,0.0
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-1.93824,0.0
cd18_time_used,137.0,0.0
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.95669,0.0
covertype_time_used,110.0,0.0
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,-9999.0,-9999.0
europeanflooddepth_time_used,-9999.0,-9999.0
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,-9999.0,-9999.0
gnad10_time_used,-9999.0,-9999.0
ham10000_performance,-9999.0,-9999.0
ham10000_time_used,-9999.0,-9999.0
hateful_meme_performance,-9999.0,-9999.0
hateful_meme_time_used,-9999.0,-9999.0
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,-9999.0,-9999.0
kick_starter_funding_time_used,-9999.0,-9999.0
memotion_performance,-9999.0,-9999.0
memotion_time_used,-9999.0,-9999.0
mldoc_performance,0.9485730580122854,0.0
mldoc_time_used,1265.0,0.0
nn5_daily_without_missing_performance,-4.682116055780269,0.0
nn5_daily_without_missing_time_used,6.0,0.0
petfinder_performance,0.35805491065313494,0.008235010125077305
petfinder_time_used,5.333333333333333,2.6246692913372702
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,-9999.0,-9999.0
women_clothing_review_time_used,-9999.0,-9999.0
yolanda_performance,-9999.0,-9999.0
yolanda_time_used,-9999.0,-9999.0
success_rate,0.13333333333333333,0.06798692684790379
success_rate,0.13333333333333333,0.06798692684790379
